x y
-17.31489372253418 30.246784210205078 1
-65.8861083984375 -16.887516021728516 1
-18.262189865112305 27.47572898864746 1
-18.195392608642578 27.16642951965332 1
-20.774757385253906 27.372802734375 1
-15.813253402709961 30.890457153320312 5
-47.4875602722168 0.40888333320617676 0
-43.909053802490234 -19.672626495361328 9
-16.372072219848633 -25.663501739501953 0
-43.90143585205078 -20.184247970581055 6
-47.325836181640625 0.4054082930088043 0
37.478973388671875 38.696495056152344 4
-9.54409408569336 19.8925724029541 4
-20.63737678527832 -58.09061050415039 8
-38.417381286621094 -45.02553176879883 7
-39.02128219604492 -44.339874267578125 7
-39.18784713745117 -44.038875579833984 7
-39.22645950317383 -43.97856903076172 7
6.6379289627075195 7.8111419677734375 9
-44.26517105102539 -52.508949279785156 8
-44.185020446777344 -52.52392578125 8
-20.637001037597656 -58.09044647216797 8
-44.227420806884766 -52.509056091308594 8
-18.078866958618164 -63.78423309326172 9
-14.163392066955566 -43.715721130371094 9
-37.93622970581055 -12.781454086303711 7
-39.748329162597656 -13.118912696838379 7
-23.75589370727539 -1.8833314180374146 2
-23.683290481567383 -1.8888165950775146 2
0.9000832438468933 -47.611427307128906 7
-36.94594192504883 -18.571977615356445 7
0.6431935429573059 -47.8139762878418 7
-11.235325813293457 0.35763126611709595 7
-44.27044677734375 -21.32521629333496 6
-39.37717819213867 -21.1545467376709 7
-39.33792495727539 -21.25029945373535 7
-0.34331828355789185 -47.4882698059082 7
-42.631412506103516 19.70973014831543 9
-60.35822296142578 -1.9625754356384277 9
-60.11708068847656 -2.5606348514556885 9
-59.69724655151367 -4.560808181762695 9
-44.24823760986328 13.685707092285156 9
-67.56876373291016 -0.9311587810516357 9
-57.36017608642578 -17.55489158630371 9
21.596616744995117 -9.085587501525879 1
-60.156402587890625 2.4755442142486572 9
-52.90254211425781 -10.166515350341797 9
-58.1609001159668 -8.572661399841309 9
-58.168235778808594 -8.573738098144531 9
-59.44612503051758 -10.10544490814209 9
-59.7637825012207 -4.3133864402771 9
-58.9608154296875 -11.283483505249023 9
-60.24431610107422 -10.071420669555664 9
-60.147865295410156 -9.15670108795166 9
-59.685482025146484 -9.944539070129395 9
-1.943206548690796 27.49302864074707 9
24.558406829833984 60.20614242553711 1
-24.861814498901367 39.23079299926758 9
30.23782730102539 2.3161098957061768 9
-24.915451049804688 39.23847961425781 9
-62.13522720336914 2.1475372314453125 9
-62.16990661621094 2.0619425773620605 9
-55.03972244262695 -12.182223320007324 9
-55.25670623779297 -10.846186637878418 9
-56.88307189941406 -10.694467544555664 9
-53.652366638183594 -11.65185260772705 9
-54.298770904541016 -11.895638465881348 9
-71.7477798461914 -14.781190872192383 9
-71.7477798461914 -14.781190872192383 9
-58.572052001953125 -14.7010498046875 9
-58.00008010864258 -14.740086555480957 9
-58.58456802368164 -14.850610733032227 9
-57.98987579345703 -14.835597038269043 9
-57.614601135253906 -15.268782615661621 9
-58.5217170715332 -15.619110107421875 9
-58.073516845703125 -15.635106086730957 9
-55.22738265991211 -9.209447860717773 9
-54.843116760253906 -9.543447494506836 9
-20.746944427490234 9.671492576599121 9
-53.23634338378906 -10.919023513793945 9
-53.74745178222656 -10.35764217376709 9
-55.74286651611328 -8.73671817779541 9
5.578467845916748 63.30443572998047 3
5.335790634155273 63.805606842041016 3
4.972268581390381 63.72282409667969 3
7.106930732727051 59.076568603515625 3
5.071169376373291 63.617454528808594 3
-7.690871715545654 21.87934112548828 9
-44.77974319458008 -1.8545461893081665 0
-42.017738342285156 -3.7984683513641357 0
-44.840492248535156 -2.1485776901245117 0
-42.97551345825195 -2.253150463104248 0
-43.14270782470703 -2.5493276119232178 0
-44.77994155883789 -1.8562374114990234 0
-41.808692932128906 -3.5975568294525146 0
-44.8255729675293 -2.166478395462036 0
-42.97551345825195 -2.253150463104248 0
-43.13750076293945 -2.5385868549346924 0
-31.267974853515625 -55.22243118286133 8
-31.17558479309082 -54.67311477661133 8
59.04400634765625 -3.479395627975464 9
59.999420166015625 -7.311887741088867 9
9.272969245910645 -14.918883323669434 7
42.287315368652344 24.460161209106445 4
41.127685546875 26.455507278442383 4
41.12919616699219 26.456348419189453 4
42.356266021728516 25.375106811523438 4
42.63744354248047 24.683155059814453 4
41.90037536621094 24.47978973388672 4
35.28678512573242 24.07315444946289 9
42.159244537353516 25.360685348510742 4
41.67353439331055 24.95438003540039 4
44.89548873901367 20.723831176757812 4
25.88382339477539 40.80162811279297 9
24.904508590698242 22.75318145751953 9
-19.232364654541016 25.412324905395508 9
29.617521286010742 -16.00203514099121 9
2.880258083343506 41.47996139526367 6
37.04594802856445 13.239192962646484 5
43.44291305541992 34.85783004760742 2
57.41241455078125 -1.1461626291275024 9
55.46907043457031 -15.75106430053711 9
55.96230697631836 -6.459403038024902 9
55.07911682128906 -6.944953441619873 9
-38.93108367919922 -15.637560844421387 7
-11.235325813293457 0.35763126611709595 7
-38.71896743774414 -16.97654151916504 7
-38.91871643066406 -15.701566696166992 7
-39.87229537963867 -19.753211975097656 7
6.001435279846191 -56.43459701538086 7
5.9005126953125 -56.27114486694336 7
